S. No;Quotation;Author
58;It is very important in life to know when your cue comes.;Soren Kierkegaard
59;Take away paradox from the thinker and you have a professor.;Soren Kierkegaard
60;I stick my finger into existence and it smells of nothing.;Soren Kierkegaard
61;I have only one friend, and that is echo. Why is it my friend? Because I love my sorrow, and echo does not take it away from me. I have only one confidant, and that is the silence of night. Why is it my confidant? Because it remains silent.;Soren Kierkegaard,
62;A 'no' does not hide anything, but a 'yes' very easily becomes a deception.;Soren Kierkegaard
63;Once you are born in this world you’re old enough to die.;Soren Kierkegaard
64;Every mental act is composed of doubt and belief,but it is belief that is the positive, it is beliefthat sustains thought and holds the world together.;Søren Kierkegaard
65;"And this is one of the most crucial definitions for the whole of Christianity; that the opposite of sin is not virtue but faith.";Søren Kierkegaard,
66;"The self is a relation which relates itself to its own self, or it is that in the relation that the relation relates itself to its own self; the self is not the relation but that the relation relates itself to its own self.";Søren Kierkegaard,
67;Hope is a passion for the possible.;Søren Kierkegaard,
68;"Do you not know that there comes a midnight hour when every one has to throw off his mask? Do you believe that life will always let itself be mocked? Do you think you can slip away a little before midnight in order to avoid this? Or are you not terrified by it? I have seen men in real life who so long deceived others that at last their true nature could not reveal itself;... In every man there is something which to a certain degree prevents him from becoming perfectly transparent to himself; and this may be the case in so high a degree, he may be so inexplicably woven into relationships of life which extend far beyond himself that he almost cannot reveal himself. But he who cannot reveal himself cannot love, and he who cannot love is the most unhappy man of all.";Søren Kierkegaard
69;"Idleness, we are accustomed to say, is the root of all evil. To prevent this evil, work is recommended.... Idleness as such is by no means a root of evil; on the contrary, it is truly a divine life, if one is not bored....";Soren Kierkegaard,
70;My melancholy is the most faithful sweetheart I have had.;Søren Kierkegaard
71;"Never cease loving a person, and never give up hope for him, for even the prodigal son who had fallen most low, could still be saved; the bitterest enemy and also he who was your friend could again be your friend; love that has grown cold can kindle.";Soren Kierkegaard
72;"When I was young, I forgot how to laugh in the cave of Trophonius; when I was older, I opened my eyes and beheld reality, at which I began to laugh, and since then, I have not stopped laughing. I saw that the meaning of life was to secure a livelihood, and that its goal was to attain a high position; that love’s rich dream was marriage with an heiress; that friendship’s blessing was help in financial difficulties; that wisdom was what the majority assumed it to be; that enthusiasm consisted in making a speech; that it was courage to risk the loss of ten dollars; that kindness consisted in saying, You are welcome, at the dinner table; that piety consisted in going to communion once a year. This I saw, and I laughed.";Søren Kierkegaard
73;Therefore do not deceive yourself! Of all deceivers fear most yourself!;Søren Kierkegaard
74;If you want to be loathsome to God, just run with the herd.;Soren Kierkegaard
75;Now, with God's help, I shall become myself.;Søren Kierkegaard
76;What is talkativeness? It is the result of doing away with the vital distinction between talking and keeping silent. Only some one who knows how to remain essentially silent can really talk--and act essentially. Silence is the essence of inwardness, of the inner life. Mere gossip anticipates real talk, and to express what is still in thought weakens action by forestalling it. But some one who can really talk, because he knows how to remain silent, will not talk about a variety of things but about one thing only, and he will know when to talk and when to remain silent. Where mere scope is concerned, talkativeness wins the day, it jabbers on incessantly about everything and nothing...In a passionate age great events (for they correspond to each other) give people something to talk about. And when the event is over, and silence follows, there is still something to remember and to think about while one remains silent. But talkativeness is afraid of the silence which reveals its emptiness.;Søren Kierkegaard,
77;The task must be made difficult, for only the difficult inspires the noble-hearted.;Søren Kierkegaard
78;My standpoint is armed neutrality.;Soren Kierkegaard
79;"You love the accidental. A smile from a pretty girl in an interesting situation, a stolen glance, that is what you are hunting for, that is a motif for your aimless fantasy. You who always pride yourself on being an observateur must, in return, put up with becoming an object of observation. Ah, you are a strange fellow, one moment a child, the next an old man; one moment you are thinking most earnestly about the most important scholarly problems, how you will devote your life to them, and the next you are a lovesick fool. But you are a long way from marriage.";Søren Kierkegaard,
80;"What I really need is to get clear about what I must do, not what I must know, except insofar as knowledge must precede every act. What matters is to find a purpose, to see what it really is that God wills that I shall do; the crucial thing is to find a truth which is truth for me, to find the idea for which I am willing to live and die.";Soren Kierkegaard
81;The only intelligent tactical response to life’s horror is to laugh defiantly at it;Søren Kierkegaard
82;The difference between an admirer and a follower still remains, no matter where you are. The admirer never makes any true sacrifices. He always plays it safe. Though in words, phrases, songs, he is inexhaustible about how highly he prizes Christ, he renounces nothing, gives up nothing, will not reconstruct his life, will not be what he admires, and will not let his life express what it is he supposedly admires.;Søren Kierkegaard,
83;The present state of the world and the whole of life is diseased. If I were a doctor and were asked for my advice, I should reply, 'Create silence'.;Soren Kierkegaard
84;What looks like politics, and imagines itself to be political, will one day unmask itself as a religious movement.;Soren Kieregaaard
85;Your own tactic is to train yourself in the art of becoming enigmatic to everybody. My young friend, suppose there was no one who troubld himself to guess your riddle--what joy, then, would you have in it?;Søren Kierkegaard,
86;"The same thing happened to me that, according to legend, happened to Parmeniscus, who in the Trophonean cave lost the ability to laugh but acquired it again on the island of Delos upon seeing a shapeless block that was said to be the image of the goddess Leto. When I was very young, I forgot in the Trophonean cave how to laugh; when I became an adult, when I opened my eyes and saw actuality, then I started to laugh and have never stopped laughing since that time. I saw that the meaning of life was to make a living, its goal to be- come a councilor, that the rich delight oflove was to acquire a well-to-do girl, that the blessedness of friendship was to help each other in financial difficulties, that wisdom was whatever the majority assumed it to be, that enthusiasm was to give a speech, that courage was to risk being fined ten dollars, that cordiality was to say ""May it do you good"" after a meal, that piety was to go to communion once a year. This I saw, and I laughed.";Søren Kierkegaard,
87;It belongs to the imperfection of everything human that man can only attain his desire by passing through its opposite.;Soren Kierkegaard
88;to have faith is precisely to lose one's mind so as to win God.;Søren Kierkegaard,
89;I am convinced that God is love, this thought has for me a primitive lyrical validity. When it is present to me, I am unspeakably blissful, when it is absent, I long for it more vehemently than does the lover for his object.;Soren Kierkegaard,
90;Adversity draws men together and produces beauty and harmony in life's relationships, just as the cold of winter produces ice-flowers on the window-panes, which vanish with the warmth.;Søren Kierkegaard
91;"My melancholy is the most faithful mistress I have known; what wonder, then, that I love her in return.";Søren Kierkegaard,
92;In my great melancholy, I loved life, for I love my melancholy.;Soren Kierkegaard
93;When I was very young and in the cave of Trophonius I forgot to laugh. Then, when I got older, when I opened my eyes and saw the real world, I began to laugh and I haven’t stopped since. I saw that the meaning of life was to get a livelihood, that the goal of life was to be a High Court judge, that the bright joy of love was to marry a well-off girl, that the blessing of friendship was to help each other out of a financial tight spot, that wisdom was what the majority said it was, that passion was to give a speech, that courage was to risk being fined 10 rix-dollars, that cordiality was to say ‘You’re welcome’ after a meal, and that the fear of God was to go to communion once a year. That’s what I saw. And I laughed.;Søren Kierkegaard,
94;"No! No one who was great in the world will be forgotten, but everyone was great in his own way, and everyone in proportion to the greatness of that which he loved. He who loved himself became great by virtue of himself, and he who loved other men became great by his devotedness, but he who loved God became the greatest of all. Everyone shall be remembered, but everyone became great in proportion to his expectancy. One became great by expecting the possible, another by expecting the eternal; but he who expected the impossible became the greatest of all. Everyone shall be remembered, but everyone was great wholly in proportion to the magnitude of that with which he struggled. For he who struggled with the world became great by conquering the world, and he who struggled with himself became great by conquering himself, but he who struggled with God became the greatest of all. Thus did they struggle in the world, man against man, one against thousands, but he who struggled with God was the greatest of all. Thus did they struggle on earth: there was one who conquered everything by his power, and there was one who conquered God by his powerlessness. There was one who relied upon himself and gained everything; there was one who in the security of his own strength sacrificed everything; but the one who believed God was the greatest of all. There was one who was great by virtue of his power, and one who was great by virtue of his hope, and one who was great by virtue of his love, but Abraham was the greatest of all, great by that power whose strength is powerlessness, great by that wisdom which is foolishness, great by that hope whose form is madness, great by the love that is hatred to oneself.";Søren Kierkegaard
95;"I have the courage, I believe, to doubt everything; I have the courage, I believe, to fight with everything; but I have not the courage to know anything; not the courage to possess, to own anything. Most people complain that the world is so prosaic, that life is not like romance, where opportunities are always so favorable. I complain that life is not like romance, where one had hard-hearted parents and nixies and trolls to fight, and enchanted princesses to free. What are all such enemies taken together, compared with the pale, bloodless, tenacious, nocturnal shapes with which I fight, and to whom I give life and substance?";Søren Kierkegaard,
96;"If anyone on the verge of action should judge himself according to the outcome, he would never begin. Even though the result may gladden the whole world, that cannot help the hero; for he knows the result only when the whole thing is over, and that is not how he became a hero, but by virtue of the fact that he began.";Søren Kierkegaard,
97;What is existence for but to be laughed at if men in their twenties have already attained the utmost?;Soren Kierkegaard,
98;"If you marry, you will regret it; if you do not marry, you will also regret it; if you marry or do not marry, you will regret both; Laugh at the world’s follies, you will regret it, weep over them, you will also regret that; laugh at the world’s follies or weep over them, you will regret both; whether you laugh at the world’s follies or weep over them, you will regret both. Believe a woman, you will regret it, believe her not, you will also regret that; believe a woman or believe her not, you will regret both; whether you believe a woman or believe her not, you will regret both. Hang yourself, you will regret it; do not hang yourself, and you will also regret that; hang yourself or do not hang yourself, you will regret both; whether you hang yourself or do not hang yourself, you will regret both. This, gentlemen, is the sum and substance of all philosophy.";Søren Kierkegaard,
99;With every increase in the degree of consciousness, and in proportion to that increase, the intensity of despair increases: the more consciousness the more intense the despair;Søren Kierkegaard,
101;"A strange thing happened to me in my dream. I was rapt into the Seventh Heaven. There sat all the gods assembled. As a special dispensation I was granted the favor to have one wish. ""Do you wish for youth,"" said Mercury, ""or for beauty, or power, or a long life; or do you wish for the most beautiful woman, or any other of the many fine things we have in our treasure trove? Choose, but only one thing!"" For a moment I was at a loss. Then I addressed the gods in this wise: ""Most honorable contemporaries, I choose one thing — that I may always have the laughs on my side."" Not one god made answer, but all began to laugh. From this I concluded that my wish had been granted and thought that the gods knew how to express themselves with good taste: for it would surely have been inappropriate to answer gravely: your wish has been granted.";Soren Kierkegaard
102;Out of love for mankind, and out of despair at my embarrassing situation, seeing that I had accomplished nothing and was unable to make anything easier than it had already been made, and moved by a genuine interest in those who make everything easy, I conceived it as my task to create difficulties everywhere.;Søren Kierkegaard
103;The daily press is the evil principle of the modern world, and time will only serve to disclose this fact with greater and greater clearness. The capacity of the newspaper for degeneration is sophistically without limit, since it can always sink lower and lower in its choice of readers. At last it will stir up all those dregs of humanity which no state or government can control.;Søren Kierkegaard
104;People understand me so little that they do not even understand when I complain of being misunderstood.;Søren Kierkegaard
105;What is youth? A dream. What is love? The dream's content.;Søren Kierkegaard,
106;It is a frightful satire and an epigram on the modern age that the only use it knows for solitude is to make it a punishment, a jail sentence.;Søren Kierkegaard
107;.....love yourself.;Soren Kierkegaard
108;To be lost in spiritlessness is the most terrible thing of all.;Søren Kierkegaard
109;"Of all ridiculous things the most ridiculous seems to me, to be busy — to be a man who is brisk about his food and his work. Therefore, whenever I see a fly settling, in the decisive moment, on the nose of such a person of affairs; or if he is spattered with mud from a carriage which drives past him in still greater haste; or the drawbridge opens up before him; or a tile falls down and knocks him dead, then I laugh heartily.";Søren Kierkegaard
110;"Let other complain that the age is wicked; my complaint is that it is paltry; for it lacks passion. Men's thoughts are thin and flimsy like lace, they are themselves pitiable like the lacemakers. The thoughts of their hearts are too paltry to be sinful. For a worm it might be regarded as a sin to harbor such thoughts, but not for a being made in the image of God. Their lusts are dull and sluggish, their passions sleepy...This is the reason my soul always turns back to the Old Testament and to Shakespeare. I feel that those who speak there are at least human beings: they hate, they love, they murder their enemies, and curse their descendants throughout all generations, they sin.";Søren Kierkegaard,
111;For he who loves God without faith reflects on himself, while the person who loves God in faith reflects on God.;Søren Kierkegaard,
112;"Whether you are man or woman, rich or poor, dependent or free, happy or unhappy; whether you bore in your elevation the splendour of the crown or in humble obscurity only the toil and heat of the day; whether your name will be remembered for as long as the world lasts, and so will have been remembered as long as it lasted, or you are without a name and run namelessly with the numberless multitude; whether the glory that surrounded you surpassed all human description, or the severest and most ignominious human judgment was passed on you -- eternity asks you and every one of these millions of millions, just one thing: whether you have lived in despair or not, whether so in despair that you did not know that you were in despair, or in such a way that you bore this sickness concealed deep inside you as your gnawing secret, under your heart like the fruit of a sinful love, or in such a way that, a terror to others, you raged in despair. If then, if you have lived in despair, then whatever else you won or lost, for you everything is lost, eternity does not acknowledge you, it never knew you, or, still more dreadful, it knows you as you are known, it manacles you to yourself in despair!";Søren Kierkegaard,
113;When one has once fully entered the realm of love, the world — no matter how imperfect — becomes rich and beautiful, it consists solely of opportunities for love.;Søren Kierkegaard,
115;Faith is the highest passion in a human being. Many in everygeneration may not come that far, but none comes further.;Søren Kierkegaard
116;For love is exultant when it unites equals, but it is triumphant when it makes that which was unequal equal in love.;Soren Kierkeggard
117;Since my earliest childhood a barb of sorrow has lodged in my heart. As long as it stays I am ironic — if it is pulled out I shall die.;Søren Kierkegaard
118;The stone that was rolled before Christ's tomb might appropriately be called the philosopher's stone because its removal gave not only the pharisees but, now for 1800 years, the philosophers so much to think about.;Soren Kierkegaard
119;Don't forget to love yourself.;Soren Kierkegaard
120;It happened that a fire broke out backstage in a theater. The clown came out to inform the public. They thought it was a jest and applauded. He repeated his warning. They shouted even louder. So I think the world will come to an end amid the general applause from all the wits who believe that it is a joke.;Søren Kierkegaard
121;Whoever has learned to be anxious in the right way has learned the ultimate.;Søren Kierkegaard,
122;No, I won't leave the world--I'll enter a lunatic asylum and see if the profundity of insanity reveals to me the riddles of life. Idiot, why didn't I do that long ago, why has it taken me so long to understand what it means when the Indians honour the insane, step aside for them? Yes, a lunatic asylum--don't you think I may end up there?;Soren Kierkegaard
124;And when the hourglass has run out, the hourglass of temporality, when the noise of secular life has grown silent and its restless or ineffectual activism has come to an end, when everything around you is still, as it is in eternity, then eternity asks you and every individual in these millions and millions about only one thing: whether you have lived in despair or not.;Soren Kierkegaar
125;This, then, is the ultimate paradox of thought: to want to discover something that thought itself cannot think.;Søren Kierkegaard
126;Only the person who is essentially capable of remaining silent is capable of speaking essentially.;Kierkegaard
127;When you were called, did you answer or did you not? Perhaps softly and in a whisper?;Soren Kierkegaard,
128;I stick my finger in existence — it smells of nothing. Where am I? Who am I? How came I here? What is this thing called the world? What does this world mean? Who is it that has lured me into the world? Why was I not consulted, why not made acquainted with its manners and customs instead of throwing me into the ranks, as if I had been bought by a kidnapper, a dealer in souls? How did I obtain an interest in this big enterprise they call reality? Why should I have an interest in it? Is it not a voluntary concern? And if I am to be compelled to take part in it, where is the director? I should like to make a remark to him. Is there no director? Whither shall I turn with my complaint?;Søren Kierkegaard
129;What is a poet? An unhappy man who hides deep anguish in his heart, but whose lips are so formed that when the sigh and cry pass through them, it sounds like lovely music.;Soren Kierkegaard,
130;I once knew of a girl whose story forms the substance of the diary. Whether he has seduced others I do not know... we learn of his desire for something altogether arbitrary. With the help of his mental gifts he knew how to tempt a girl to draw her to him without caring to possess her in any stricter sense.  I can imagine him able to bring a girl to the point where he was sure she would sacrifice all then he would leave without a word let a lone a declaration a promise.   The unhappy girl would retain the consciousness of it with double bitterness because there was not the slightest thing she could appeal to. She could only be constantly tossed about in a terrible witches' dance at one moment reproaching herself forgiving him at another reproaching him and then since the relationship would only have been actual in a figurative sense she would constantly have to contend with the doubt that the whole thing might only have been an imagination.;Soren Kierkegaard,
131;With respect to love we speak continually about perfection and the perfect person. With respect to love Christianity also speaks continually about perfection and the perfect person. Alas, but we men talk about finding the perfect person in order to love him. Christianity speaks about being the perfect person who limitlessly loves the person he sees.;Søren Kierkegaard,
132;It's better to get lost in the passion than to lose the passion;Soren Kierkegäard
133;"My time I divide as follows: the one half I sleep; the other half I dream. I never dream when I sleep; that would be a shame, because to sleep is the height of genius.";Søren Kierkegaard,
134;You train yourself in the art of being mysterious to everyone. My dear friend! What if there were no one, who cared about guessing your riddle, what pleasure would you then take in it?;Søren Kierkegaard
135;I would rather be a swineherd, understood by the swine, than a poet misunderstood by men.;Soren Kierkegaard
136;Life can only be understood going backward, but must be lived going forward.;SOREN KIERKEGAARD
137;Thus our own age is essentially one of understanding, and on the average, perhaps, more knowledgeable than any former generation, but it is without passion. Every one knows a great deal, we all know which way we ought to go and all the different ways we can go, but nobody is willing to move.;Søren Kierkegaard,
138;The truth is a snare: you cannot have it, without being caught. You cannot have the truth in such a way that you catch it, but only in such a way that it catches you.;Søren Kierkegaard
139;"...even the richest personality is nothing before he has chosen himself, and on the other hand even what one might call the poorest personality is everything when he has chosen himself; for the great thing is not to be this or that but to be oneself, and this everyone can be if he wills it.";Søren Kierkegaard,
140;Life has its own hidden forces which you can only discover by living.;Søren Kierkegaard
143;Far from idleness being the root of all evil, it is rather the only true good.;Soren Kierkegaard
144;Deep within every human being there still lives the anxiety over the possibility of being alone in the world, forgotten by God, overlooked among the millions and millions in this enormous household. One keeps this anxiety at a distance by looking at the many round about who are related to him as kin and friends, but the anxiety is still there, nevertheless, and one hardly dares think of how he would feel if all this were taken away.;Soren Kieekegaard
145;People settle for a level of despair they can tolerate and call it happiness.;Søren Kierkegaard
146;Do you not know that there comes a midnight hour when every one has to throw off his mask? Do you believe that life will always let itself be mocked? Do you think you can slip away a little before midnight to avoid this?;Søren Kierkegaard,
147;"No one comes back from the dead, no one has entered the world without crying; no one is asked when he wishes to enter life, nor when he wishes to leave.";Søren Kierkegaard,
148;I begin with the principle that all men are bores. Surely no one will prove himself so great a bore as to contradict me in this.;Søren Aabye Kierkegaard
149;The more one suffers, the more, I believe, has one a sense for the comic. It is only by the deepest suffering that one acquires true authority in the use of the comic, an authority which by one word transforms as by magic the reasonable creature one calls man into a caricature.;Soren Kieregaaard
150;Nothing is as heady as the wine of possibility;Søren Kierkegaard
151;For it is not what happens to me that makes me great, but it is what I do.;Søren Kierkegaard,
152;"A revolutionary age is an age of action; ours is the age of advertisement and publicity. Nothing ever happens but there is immediate publicity everywhere. In the present age a rebellion is, of all things, the most unthinkable. Such an expression of strength would seem ridiculous to the calculating intelligence of our times. On the other hand a political virtuoso might bring off a feat almost as remarkable. He might write a manifesto suggesting a general assembly at which people should decide upon a rebellion, and it would be so carefully worded that even the censor would let it pass. At the meeting itself he would be able to create the impression that his audience had rebelled, after which they would all go quietly home--having spent a very pleasant evening.";Søren Kierkegaard,
153;Men think that it is impossible for a human being to love his enemies, for enemies are hardly able to endure the sight of one another. Well, then, shut your eyes--and your enemy looks just like your neighbor.;Søren Kierkegaard,
154;Purity of Heart Is to Will One Thing;Soren Kierkegaard
155;Only the noble of heart are called to difficulty.;Søren Kierkegaard
156;I'm so misunderstood that people misunderstand me even when I tell them I'm misunderstood.;Soren Kierkegaard
157;"People hardly ever make use of the freedom which they have, for example, freedom of thought; instead they demand freedom of speech as compensation.";Søren Kierkegaard,
158;Sleeping is the height of genius;Soren Kierkegaard
159;"Silence is the demon's trap, and the more one is silenced, the more terrible the demon; but silence is also the divinity's mutual understanding with the single individual.";Soren Kierkegaard
160;No, not one shall be forgotten who was great in the world. But each was great in his own way, and each in proportion to the greatness of that which he loved.;Søren Kierkegaard,
161;If I am capable of grasping God objectively, I do not believe, but precisely because I cannot do this I must believe. If I wish to preserve myself in faith I must constantly be intent upon holding fast the objective uncertainty so as to remain out upon the deep, over seventy thousand fathoms of water, still preserving my faith.;Søren Kierkegaard
162;What I really lack is to be clear in my mind what I am to do, not what I am to know, except in so far as a certain knowledge must precede every action. The thing is to understand myself, to see what God really wishes me to do: the thing is to find a truth which is true for me, to find the idea for which I can live and die. ... I certainly do not deny that I still recognize an imperative of knowledge and that through it one can work upon men, but it must be taken up into my life, and that is what I now recognize as the most important thing.;Søren Kierkegaard
163;"It is modest of the nightingale not to require anyone to listen to it; but it is also proud of the nightingale not to care whether any one listens to it or not.";Søren Kierkegaard,
164;"Then faith's paradox is this: that the single individual is higher than the universal, that the single individual determines his relation to the universal through his relation to God, not his relation to God through his relation through the universal... Unless this is how it is, faith has no place in existence; and faith is then a temptation.";Soren Kierkegaard,
165;"As I stood alone and forsaken, and the power of the sea and the battle of the elements reminded me of my own nothingness, and on the other hand, the sure flight of the birds recalled the words spoken by Christ: Not a sparrow shall fall on the ground without your Father: then, all at once, I felt how great and how small I was; then did those two mighty forces, pride and humility, happily unite in friendship.";Søren Kierkegaard
166;To grumble about the world and its unhappiness is always easier than to beat one's breast and groan over oneself.;Søren Kierkegaard,
167;...my soul always reverts to the Old Testament and to Shakespeare. There at least one feels that it's human beings talking. There people hate, people love, people murder their enemy and curse his descendants through all generations, there people sin.;Søren Kierkegaard,
168;"Language has time as its element; all other media have space as their element.";Søren Kierkegaard,
